ID	secondary_cluster	threshold	cluster_method	comparison_algorithm	primary_cluster	SGB_id
MAG00001	440_1	0.05	average	ANImf	440	SGB440
MAG00002	438_1	0.05	average	ANImf	438	SGB438
MAG00003	576_1	0.05	average	ANImf	576	SGB576
MAG00004	605_1	0.05	average	ANImf	605	SGB605
MAG00005	115_1	0.05	average	ANImf	115	SGB115
MAG00006	424_2	0.05	average	ANImf	424	SGB424
MAG00007	426_1	0.05	average	ANImf	426	SGB426
MAG00008	14_1	0.05	average	ANImf	14	SGB14
MAG00009	221_1	0.05	average	ANImf	221	SGB221
MAG00010	423_1	0.05	average	ANImf	423	SGB423
MAG00011	116_1	0.05	average	ANImf	116	SGB116
MAG00012	165_1	0.05	average	ANImf	165	SGB165
MAG00013	464_2	0.05	average	ANImf	464	SGB464
MAG00014	714_1	0.05	average	ANImf	714	SGB714
MAG00015	511_2	0.05	average	ANImf	511	SGB511
MAG00016	316_2	0.05	average	ANImf	316	SGB316
MAG00017	239_1	0.05	average	ANImf	239	SGB239
MAG00018	328_1	0.05	average	ANImf	328	SGB328
MAG00019	758_1	0.05	average	ANImf	758	SGB758
MAG00020	247_1	0.05	average	ANImf	247	SGB247
MAG00021	213_1	0.05	average	ANImf	213	SGB213
MAG00022	146_1	0.05	average	ANImf	146	SGB146
MAG00023	442_1	0.05	average	ANImf	442	SGB442
MAG00024	307_1	0.05	average	ANImf	307	SGB307
MAG00025	221_1	0.05	average	ANImf	221	SGB221
MAG00026	576_1	0.05	average	ANImf	576	SGB576
MAG00027	758_1	0.05	average	ANImf	758	SGB758
MAG00028	38_1	0.05	average	ANImf	38	SGB38
MAG00029	424_2	0.05	average	ANImf	424	SGB424
MAG00030	307_1	0.05	average	ANImf	307	SGB307
MAG00031	714_1	0.05	average	ANImf	714	SGB714
MAG00032	146_1	0.05	average	ANImf	146	SGB146
MAG00033	438_1	0.05	average	ANImf	438	SGB438
MAG00034	426_1	0.05	average	ANImf	426	SGB426
MAG00035	464_2	0.05	average	ANImf	464	SGB464
MAG00036	239_1	0.05	average	ANImf	239	SGB239
MAG00037	328_1	0.05	average	ANImf	328	SGB328
MAG00038	165_1	0.05	average	ANImf	165	SGB165
MAG00039	605_1	0.05	average	ANImf	605	SGB605
MAG00040	213_1	0.05	average	ANImf	213	SGB213
MAG00041	14_1	0.05	average	ANImf	14	SGB14
MAG00042	247_1	0.05	average	ANImf	247	SGB247
MAG00043	373_0	0.05	average	ANImf	373	SGB373
MAG00044	116_1	0.05	average	ANImf	116	SGB116
MAG00045	576_1	0.05	average	ANImf	576	SGB576
MAG00046	424_2	0.05	average	ANImf	424	SGB424
MAG00047	442_1	0.05	average	ANImf	442	SGB442
MAG00048	146_1	0.05	average	ANImf	146	SGB146
MAG00049	14_1	0.05	average	ANImf	14	SGB14
MAG00050	205_1	0.05	average	ANImf	205	SGB205
MAG00051	247_1	0.05	average	ANImf	247	SGB247
MAG00052	745_0	0.05	average	ANImf	745	SGB745
MAG00053	423_1	0.05	average	ANImf	423	SGB423
MAG00054	280_1	0.05	average	ANImf	280	SGB280
MAG00055	216_1	0.05	average	ANImf	216	SGB216
MAG00056	440_1	0.05	average	ANImf	440	SGB440
MAG00057	307_1	0.05	average	ANImf	307	SGB307
MAG00058	38_1	0.05	average	ANImf	38	SGB38
MAG00059	116_1	0.05	average	ANImf	116	SGB116
MAG00060	426_1	0.05	average	ANImf	426	SGB426
MAG00061	239_1	0.05	average	ANImf	239	SGB239
MAG00062	714_1	0.05	average	ANImf	714	SGB714
MAG00063	758_1	0.05	average	ANImf	758	SGB758
MAG00064	464_2	0.05	average	ANImf	464	SGB464
MAG00065	605_1	0.05	average	ANImf	605	SGB605
MAG00066	159_1	0.05	average	ANImf	159	SGB159
MAG00067	316_2	0.05	average	ANImf	316	SGB316
MAG00068	464_2	0.05	average	ANImf	464	SGB464
MAG00069	38_1	0.05	average	ANImf	38	SGB38
MAG00070	424_2	0.05	average	ANImf	424	SGB424
MAG00071	196_1	0.05	average	ANImf	196	SGB196
MAG00072	167_1	0.05	average	ANImf	167	SGB167
MAG00073	576_1	0.05	average	ANImf	576	SGB576
MAG00074	438_1	0.05	average	ANImf	438	SGB438
MAG00075	423_1	0.05	average	ANImf	423	SGB423
MAG00076	165_2	0.05	average	ANImf	165	SGB165
MAG00077	602_1	0.05	average	ANImf	602	SGB602
MAG00078	442_1	0.05	average	ANImf	442	SGB442
MAG00079	440_1	0.05	average	ANImf	440	SGB440
MAG00080	758_1	0.05	average	ANImf	758	SGB758
MAG00081	499_1	0.05	average	ANImf	499	SGB499
MAG00082	711_1	0.05	average	ANImf	711	SGB711
