ID	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)
MAG00003	p__Actinobacteria (UID2112)	31	211	124	100	0.81	0	3437916	27706	2979	2979	171158	414	338	328	1788	1730
MAG00008	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.39	20	4665857	54560	4328	4328	151825	381	318	306	3164	3078
MAG00013	o__Bacteroidales (UID2621)	198	427	260	99.42	0.13	0	4057274	60491	3293	3293	109148	446	369	351	2484	2295
MAG00018	o__Clostridiales (UID1212)	172	263	149	93.8	0.89	0	1998646	27512	2151	2151	9485	333	276	264	1413	1331
MAG00021	o__Clostridiales (UID1226)	155	278	158	99.37	0	0	4347048	56676	3953	3953	110488	400	320	306	3119	2904
MAG00022	o__Clostridiales (UID1226)	155	278	158	98.73	0	0	2911129	32758	2740	2740	143053	391	323	311	4095	3954
MAG00028	p__Firmicutes (UID1022)	100	295	158	100	0.63	0	2558090	44203	2546	2546	66777	358	300	283	2338	2130
MAG00043	g__Prevotella (UID2724)	55	567	296	81.57	0.45	0	1775894	29189	1786	1786	4497	366	290	274	2324	2125
MAG00050	o__Clostridiales (UID1226)	155	274	157	99.36	1.27	100	2874699	39038	2828	2828	51306	372	308	294	3659	3332
MAG00052	o__Clostridiales (UID1212)	172	263	149	85.16	0.84	0	1963199	18013	2097	2097	6537	343	270	261	2427	2372
MAG00054	o__Clostridiales (UID1226)	155	278	158	99.05	0.06	100	2746310	30156	2516	2516	60635	383	317	305	4532	4361
MAG00055	o__Clostridiales (UID1226)	155	278	158	95.25	0	0	3526422	45124	3198	3198	64603	390	317	303	2995	2853
MAG00062	o__Clostridiales (UID1212)	172	261	147	97.28	0	0	3625432	38250	3288	3288	77553	387	319	308	3574	3320
MAG00070	g__Bacteroides (UID2691)	33	839	309	98.66	0.08	0	5797820	92010	4491	4491	145826	468	389	369	2176	2032
MAG00072	o__Clostridiales (UID1226)	155	278	158	82.85	1.11	0	4964514	54641	5233	5233	7880	346	283	273	2384	2277
MAG00077	f__Bifidobacteriaceae (UID1460)	70	502	225	100	0	0	1908191	19543	1570	1570	201215	424	356	344	3106	3020
MAG00078	o__Bacteroidales (UID2657)	160	492	269	99.26	0.12	0	3627953	55069	2999	2999	99632	437	367	348	5547	5207
MAG00079	o__Bacteroidales (UID2657)	160	492	269	98.14	0	0	3990718	58092	3407	3407	174336	425	352	335	2041	1956
MAG00081	p__Firmicutes (UID1022)	100	295	158	59.39	0	0	1261506	13959	1263	1263	24754	352	294	283	3444	3192
MAG00087	g__Lactobacillus (UID436)	31	586	184	99.46	0	0	2927590	33899	2729	2729	141463	364	306	294	3475	3288
MAG00088	g__Bacteroides (UID2691)	33	839	309	97.96	0.06	0	5581885	89889	4419	4419	95390	462	382	361	2014	1914
MAG00089	f__Lachnospiraceae (UID1286)	57	420	207	96.86	0	0	2316624	32724	2107	2107	120396	394	328	312	1793	1712
MAG00091	f__Lachnospiraceae (UID1286)	57	420	207	94.61	0.48	0	3072995	42071	2836	2836	28579	391	317	302	2432	2302
MAG00093	o__Clostridiales (UID1212)	172	263	149	94.85	0	0	2031556	19398	1981	1981	57548	367	300	291	2936	2831
MAG00099	o__Clostridiales (UID1226)	155	278	158	83.05	0.63	100	2404140	31029	2231	2231	11446	401	324	310	2992	2883
MAG00103	o__Clostridiales (UID1212)	172	263	149	84.9	0.23	0	1597647	20739	1739	1739	5002	327	268	256	2096	1921
MAG00105	o__Clostridiales (UID1212)	172	257	149	97.32	0.13	0	3132400	26886	3112	3112	44009	369	300	291	1923	1834
MAG00117	f__Lachnospiraceae (UID1286)	57	420	207	99.03	1.21	0	3046435	40373	2882	2882	222194	386	319	305	1518	1449
MAG00126	o__Clostridiales (UID1212)	172	263	149	97.99	1.01	0	2944340	53305	2520	2520	91098	428	354	333	13308	12285
MAG00128	f__Lachnospiraceae (UID1256)	33	333	171	90.16	0	0	2411515	30020	2246	2246	36819	375	315	302	3290	3020
MAG00131	o__Clostridiales (UID1226)	155	274	157	99.36	0	0	2945254	39484	2652	2652	87583	401	333	319	3549	3268
MAG00132	o__Clostridiales (UID1120)	304	247	141	97.87	0	0	1438587	19295	1338	1339	91112	389	329	314	1562	1462
MAG00135	f__Lachnospiraceae (UID1255)	90	354	174	67.36	1.44	33.33	1726359	21360	1693	1693	8419	370	301	289	2011	1859
MAG00138	o__Clostridiales (UID1120)	304	247	141	96.81	0	0	2081601	24010	1945	1945	88197	390	319	307	3231	3059
MAG00144	o__Clostridiales (UID1212)	172	261	147	90.06	1.7	66.67	2000979	20611	1951	1951	17214	363	303	293	1512	1447
MAG00145	o__Bacteroidales (UID2621)	198	427	260	91.38	0.9	50	4093181	60845	3586	3586	10053	429	345	328	2488	2305
MAG00146	g__Bacteroides (UID2691)	33	839	309	92.95	1.18	29.27	5904874	93654	4633	4633	60759	467	385	364	2176	2032
MAG00147	k__Bacteria (UID203)	5449	103	57	58.77	0	0	2321893	28791	2249	2249	9951	380	309	296	1846	1759
MAG00149	o__Clostridiales (UID1212)	172	261	147	99.32	0	0	3052013	32689	2906	2906	95972	377	308	296	3026	2899
MAG00150	p__Actinobacteria (UID2112)	31	211	124	96.62	0	0	2293981	19112	2069	2069	27745	378	320	311	1538	1483
MAG00152	p__Bacteroidetes (UID2605)	350	314	208	98.97	1.1	57.14	2478250	28129	2213	2213	67531	400	323	310	1801	1696
MAG00153	k__Bacteria (UID2372)	131	177	106	99.06	0	0	2777802	48384	2968	2968	100133	343	284	268	2911	2665
MAG00157	g__Prevotella (UID2724)	55	567	296	98.54	1.08	0	3203755	49288	2643	2643	65637	440	359	340	2513	2335
MAG00159	k__Bacteria (UID203)	5449	104	58	83.97	0	0	6278547	101031	4894	4894	184020	481	390	369	2485	2305
MAG00165	o__Clostridiales (UID1212)	172	257	149	92.95	0.67	100	2679916	23448	2574	2574	110881	380	310	301	3185	3037
MAG00167	p__Actinobacteria (UID2112)	31	211	124	97.11	0.81	100	2114333	18929	1889	1889	44928	388	325	315	3578	3317
MAG00169	o__Clostridiales (UID1212)	172	261	147	94.77	0	0	2345761	23166	2067	2067	45708	391	331	320	3563	3306
MAG00170	f__Lachnospiraceae (UID1286)	57	420	207	95.17	1.85	14.29	2914801	36671	2657	2658	53033	393	328	314	1793	1658
MAG00171	f__Lachnospiraceae (UID1286)	57	420	207	98.69	0.24	0	3085543	36981	2808	2808	76020	397	329	316	2666	2530
MAG00172	o__Bacteroidales (UID2657)	160	492	269	99.26	0	0	4561553	67964	3850	3850	184991	437	359	341	2119	2011
MAG00174	o__Clostridiales (UID1226)	155	278	158	61.58	0.63	0	1839202	23121	1645	1645	25389	389	324	310	1570	1478
MAG00177	o__Clostridiales (UID1120)	304	247	141	95.39	0	0	2110771	24491	2004	2004	55138	390	314	302	3141	2953
MAG00182	k__Bacteria (UID2982)	88	229	147	97.96	0.68	0	2625226	28094	2323	2323	20658	401	335	323	3153	2942
MAG00194	p__Firmicutes (UID1022)	100	295	158	100	0.63	0	2539305	43147	2492	2492	57135	355	303	286	4376	3981
MAG00195	p__Proteobacteria (UID3887)	1487	256	160	70.49	0.62	0	1438743	11798	1750	1750	2252	319	246	239	1625	1585
MAG00198	o__Clostridiales (UID1226)	155	278	158	98.42	0	0	2647737	28919	2347	2347	72170	387	326	314	4532	4359
MAG00202	o__Clostridiales (UID1212)	172	261	147	78.81	0	0	1997858	19823	1978	1978	9355	360	293	283	1588	1520
MAG00207	o__Clostridiales (UID1212)	172	263	149	53.6	0.92	0	1596821	19480	1913	1913	2714	313	249	239	1425	1362
MAG00208	o__Clostridiales (UID1212)	172	263	149	50.89	2.15	7.14	2495894	32983	2915	2915	2548	327	259	247	2282	2116
MAG00211	o__Clostridiales (UID1212)	172	263	149	93.75	0.67	100	2139446	21095	2232	2232	9920	349	280	270	1736	1633
MAG00213	f__Lachnospiraceae (UID1256)	33	333	171	79.13	2.81	8.33	2047183	25338	2073	2073	11263	351	294	282	2311	2190
MAG00216	o__Clostridiales (UID1226)	155	278	158	99.37	0.32	100	2624031	28000	2410	2410	53188	384	323	311	4775	4599
MAG00218	p__Actinobacteria (UID2112)	31	211	124	99.19	0	0	1827084	15120	1529	1529	101945	411	350	340	2644	2520
MAG00220	f__Lachnospiraceae (UID1286)	57	420	207	95.89	0	0	2860876	38883	2626	2626	54257	392	322	308	1555	1465
MAG00228	o__Bacteroidales (UID2621)	198	427	260	99.42	0	0	4659171	70592	3872	3872	147659	438	365	347	2473	2294
MAG00238	f__Lachnospiraceae (UID1256)	33	333	171	91.52	0.03	100	2509614	31936	2275	2275	80464	391	325	311	2640	2443
MAG00239	o__Clostridiales (UID1226)	155	278	158	97.08	0.79	50	2950082	35086	2641	2641	48780	397	328	315	3253	3032
MAG00244	g__Streptococcus (UID684)	26	668	229	71.78	1.4	35	1390608	18984	1737	1737	2873	299	239	228	1213	1169
MAG00247	k__Bacteria (UID2372)	131	177	106	99.06	0	0	2731602	47308	2855	2855	143720	350	290	274	2564	2339
MAG00250	o__Clostridiales (UID1212)	172	261	147	97.96	0	0	3031173	31356	2674	2674	101555	393	331	320	3574	3313
MAG00255	o__Clostridiales (UID1212)	172	263	149	99.33	2.01	33.33	2808377	37951	2637	2637	58601	382	321	307	2184	2070
MAG00256	f__Lachnospiraceae (UID1286)	57	420	207	97.58	1.93	0	2898950	38117	2733	2733	157716	393	322	308	2110	2035
