ID	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)
MAG00001	o__Bacteroidales (UID2657)	160	492	269	89.34	0	0	3761354	54524	3194	3194	170817	425	354	337	2184	2063
MAG00002	o__Bacteroidales (UID2654)	163	486	266	61.47	0	0	3016827	49808	2330	2330	228807	487	392	371	1893	1812
MAG00003	p__Actinobacteria (UID2112)	31	211	124	100	0.81	0	3437916	27706	2979	2979	171158	414	338	328	1788	1730
MAG00004	f__Bifidobacteriaceae (UID1462)	65	476	217	99.77	0	0	2225834	22514	1850	1850	197040	423	353	341	3173	3078
MAG00005	k__Bacteria (UID2372)	131	177	106	86.11	0.31	100	3148871	60274	3477	3477	5410	336	271	253	2064	1910
MAG00006	g__Bacteroides (UID2691)	33	839	309	96.11	1.16	33.33	5615068	89144	4360	4360	148190	465	389	368	2176	2032
MAG00007	g__Bacteroides (UID2691)	33	839	309	88.02	0.16	0	4706183	75531	3678	3678	102152	468	387	366	2014	1914
MAG00008	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.39	20	4665857	54560	4328	4328	151825	381	318	306	3164	3078
MAG00009	o__Clostridiales (UID1226)	155	278	158	99.37	0	0	2958294	35362	2716	2716	184894	388	323	310	2212	2071
MAG00010	o__Bacteroidales (UID2657)	160	492	269	96.84	0	0	4832131	72555	3985	3985	152081	431	361	343	1958	1864
MAG00011	k__Bacteria (UID2372)	131	177	106	100	0	0	3747079	66670	3760	3761	58001	363	296	278	4096	3783
MAG00012	o__Clostridiales (UID1342)	32	340	177	96.06	0	0	5510163	61521	5072	5072	39853	384	323	311	4333	4150
MAG00013	o__Bacteroidales (UID2621)	198	427	260	99.42	0.13	0	4057274	60491	3293	3293	109148	446	369	351	2484	2295
MAG00014	o__Clostridiales (UID1212)	172	261	147	86.18	3.12	42.86	2398596	23990	2299	2299	7045	375	307	297	2236	2131
MAG00015	c__Deltaproteobacteria (UID3218)	61	284	169	57.45	0.68	0	2305304	19248	2742	2742	2209	325	243	236	1675	1626
MAG00016	k__Bacteria (UID2372)	131	177	106	91.04	0	0	3571313	40662	3762	3762	11689	333	271	260	2430	2267
MAG00017	f__Lachnospiraceae (UID1286)	57	420	207	98.31	0.48	100	2447308	34630	2243	2243	121733	394	325	309	1793	1712
MAG00018	o__Clostridiales (UID1212)	172	263	149	93.8	0.89	0	1998646	27512	2151	2151	9485	333	276	264	1413	1331
MAG00019	o__Clostridiales (UID1212)	172	257	149	92.62	0	0	3493208	31075	3489	3489	56162	373	297	288	3466	3307
MAG00020	f__Lachnospiraceae (UID1256)	33	333	171	93.09	1.36	66.67	2441543	29670	2542	2542	10429	359	294	283	1761	1684
MAG00021	o__Clostridiales (UID1226)	155	278	158	99.37	0	0	4347048	56676	3953	3953	110488	400	320	306	3119	2904
MAG00022	o__Clostridiales (UID1226)	155	278	158	98.73	0	0	2911129	32758	2740	2740	143053	391	323	311	4095	3954
MAG00023	o__Bacteroidales (UID2657)	160	492	269	87.48	0.12	0	3046028	45608	2474	2474	109560	436	373	355	1939	1857
MAG00024	o__Clostridiales (UID1212)	172	261	147	97.96	0	0	3453503	32258	3298	3298	168467	379	307	297	3005	2869
MAG00025	o__Clostridiales (UID1226)	155	278	158	90.33	0.79	50	2686901	31782	2695	2695	11369	366	296	285	2212	2071
MAG00026	p__Actinobacteria (UID2112)	31	211	124	96	0.12	0	3143689	24940	2913	2913	14971	397	316	308	1742	1730
MAG00027	o__Clostridiales (UID1212)	172	257	149	89.03	1.68	50	2884029	24885	3096	3096	7954	352	279	271	1831	1749
MAG00028	p__Firmicutes (UID1022)	100	295	158	100	0.63	0	2558090	44203	2546	2546	66777	358	300	283	2338	2130
MAG00029	k__Bacteria (UID203)	5449	104	58	77.93	0	0	5904831	94471	4721	4721	39593	463	377	357	2917	2722
MAG00030	o__Clostridiales (UID1212)	172	261	147	97.96	0	0	3428649	31972	3272	3272	147363	379	307	297	3005	2869
MAG00031	o__Clostridiales (UID1212)	172	261	147	97.28	0.68	0	3349207	35119	3018	3018	44146	386	322	310	3574	3320
MAG00032	o__Clostridiales (UID1226)	155	278	158	98.73	0	0	2988539	33691	2814	2814	128822	389	323	311	4095	3954
MAG00033	o__Bacteroidales (UID2654)	163	486	266	99.25	0.19	0	5470595	86440	4492	4492	194522	449	366	347	1893	1812
MAG00034	g__Bacteroides (UID2691)	33	839	309	96.17	0.32	60	5336858	85836	4188	4188	91690	468	385	365	2014	1914
MAG00035	o__Bacteroidales (UID2621)	198	427	260	99.2	0.13	0	4059117	60597	3291	3291	103853	446	370	352	2484	2295
MAG00036	f__Lachnospiraceae (UID1286)	57	420	207	96.86	0	0	2294156	32181	2105	2105	82649	392	325	309	1793	1712
MAG00037	o__Clostridiales (UID1212)	172	263	149	70.46	1.59	0	1514823	20659	2000	2000	2682	283	225	215	1032	961
MAG00038	o__Clostridiales (UID1342)	32	340	177	88.78	1.53	75	4752699	52618	4619	4619	11712	369	310	298	3511	3356
MAG00039	f__Bifidobacteriaceae (UID1462)	65	476	217	99.68	0	0	2195427	22320	1804	1804	197283	425	357	345	3173	3078
MAG00040	o__Clostridiales (UID1226)	155	278	158	99.37	0	0	4546011	59161	4196	4196	106290	393	314	300	2997	2849
MAG00041	f__Enterobacteriaceae (UID5162)	88	1207	328	99.93	2.66	60	5961269	71436	5714	5714	173313	377	307	294	3164	3078
MAG00042	f__Lachnospiraceae (UID1256)	33	333	171	99.42	0	0	3200332	40006	3106	3106	93115	385	313	300	3119	2904
MAG00043	g__Prevotella (UID2724)	55	567	296	81.57	0.45	0	1775894	29189	1786	1786	4497	366	290	274	2324	2125
MAG00044	k__Bacteria (UID2372)	131	177	106	100	0.47	100	3819343	67861	3872	3873	96340	360	293	275	4096	3783
MAG00045	p__Actinobacteria (UID2112)	31	211	124	88.5	1.57	50	3024175	23905	3141	3141	4859	360	283	276	1447	1407
MAG00046	k__Bacteria (UID203)	5449	104	58	65.86	0	0	5685039	90643	4598	4598	16427	463	373	354	2917	2722
MAG00047	o__Bacteroidales (UID2657)	160	492	269	92.85	0.12	0	3187546	47828	2612	2612	102465	437	370	351	5547	5207
MAG00048	o__Clostridiales (UID1226)	155	278	158	98.73	0.16	0	3060720	34533	2899	2899	149290	386	321	309	4095	3954
MAG00049	f__Enterobacteriaceae (UID5124)	134	1173	336	91.28	1.15	5.26	4037999	46389	4149	4149	8286	356	291	279	1654	1577
MAG00050	o__Clostridiales (UID1226)	155	274	157	99.36	1.27	100	2874699	39038	2828	2828	51306	372	308	294	3659	3332
